date,hospitalized,beds,ventilators,occupied_ventilators,quarantines,epid_surveillance,tests,new_tests,positive,new_positive,negative_or_second_positive,positive_perc,new_tests_3,new_tests_7,new_tests_14,positive_perc_3,positive_perc_7,positive_perc_14
2020-03-02,,,,,,,559,,0,0,,,,,,,,
2020-03-03,68.0,,,,316.0,4459.0,584,25.0,1,1,24.0,0.04,,,,,,
2020-03-04,65.0,,,,349.0,4540.0,676,92.0,1,0,92.0,0.0,,,,,,
2020-03-05,92.0,,,,490.0,5647.0,855,179.0,1,0,179.0,0.0,98.66666666666669,,,0.013333333333333334,,
2020-03-06,128.0,,,,1299.0,6184.0,855,0.0,1,0,0.0,,90.33333333333331,,,,,
2020-03-07,146.0,,,,1548.0,6409.0,1154,299.0,8,7,292.0,0.023411371237458192,159.33333333333334,,,,,
2020-03-08,168.0,,,,932.0,7112.0,1384,230.0,16,8,222.0,0.034782608695652174,176.33333333333337,,,,,
2020-03-09,467.0,,,,1014.0,7110.0,1630,246.0,17,1,262.0,0.0040650406504065045,258.3333333333333,153.0,,0.02075300686117229,,
2020-03-10,220.0,,,,1055.0,9366.0,2024,394.0,25,8,369.0,0.02030456852791878,290.0,205.7142857142857,,0.019717405957992488,,
2020-03-11,317.0,,,,1193.0,11524.0,2234,210.0,47,22,188.0,0.10476190476190476,283.3333333333333,222.57142857142856,,0.04304383798007669,,
2020-03-12,384.0,,,,2736.0,14841.0,2889,655.0,58,11,644.0,0.01679389312977099,419.66666666666674,290.57142857142856,,0.047286788806531525,,
2020-03-13,521.0,,,,3151.0,17784.0,4414,1525.0,93,35,1490.0,0.022950819672131147,796.6666666666665,508.4285714285714,,0.048168872521268974,0.03243860095360608,
2020-03-14,526.0,,,,4413.0,20340.0,5493,1079.0,111,18,1061.0,0.016682113067655237,1086.3333333333333,619.8571428571429,,0.01880894195651913,0.03147727835791995,
2020-03-15,768.0,,,,7535.0,25816.0,5493,0.0,111,0,0.0,,868.0,587.0,,,,
2020-03-16,734.0,,,,10050.0,30129.0,7899,2406.0,205,94,2312.0,0.03906899418121363,1161.6666666666667,895.5714285714287,524.2857142857143,,,
2020-03-17,822.0,,,,37503.0,35853.0,9515,1616.0,246,41,1575.0,0.025371287128712876,1340.6666666666667,1070.142857142857,637.9285714285714,,,
2020-03-18,923.0,,,,57185.0,40110.0,11196,1681.0,305,59,1622.0,0.035098155859607384,1901.0,1280.2857142857142,751.4285714285713,0.0331794790565113,,
2020-03-19,871.0,,,,76764.0,48660.0,13072,1876.0,378,73,1803.0,0.03891257995735608,1724.333333333333,1454.7142857142858,872.6428571428571,0.03312734098189212,,
2020-03-20,898.0,,,,109235.0,53117.0,15084,2012.0,452,74,1938.0,0.036779324055666,1856.333333333333,1524.2857142857142,1016.3571428571428,0.03693001995754317,,
2020-03-21,1047.0,,,,128919.0,56623.0,17607,2523.0,563,111,2412.0,0.043995243757431635,2137.0,1730.571428571429,1175.2142857142858,0.03989571592348458,,
2020-03-22,1084.0,,,,128980.0,58826.0,20127,2520.0,649,86,2434.0,0.034126984126984124,2351.6666666666665,2090.5714285714284,1338.7857142857142,0.038300517313360594,0.03619322415242453,
2020-03-23,1138.0,,,,150746.0,51142.0,22898,2771.0,774,125,2646.0,0.04511006856730422,2604.6666666666665,2142.714285714286,1519.142857142857,0.04107743215057333,0.0370562347790089,
2020-03-24,1479.0,,,,167040.0,53426.0,26244,3346.0,957,183,3163.0,0.05469216975493126,2879.0,2389.857142857143,1730.0,0.04464307414973987,0.041244932297040085,
2020-03-25,1615.0,,,,209208.0,56930.0,29564,3320.0,1085,128,3192.0,0.03855421686746988,3145.666666666666,2624.0,1952.142857142857,0.046118818396568464,0.041738655298163306,
2020-03-26,1606.0,,,,234382.0,59081.0,34067,4503.0,1244,159,4344.0,0.03530979347101932,3723.0,2999.285714285714,2227.0,0.04285206003114015,0.041223971514400916,
2020-03-27,1696.0,,,,256156.0,58306.0,38674,4607.0,1436,192,4415.0,0.041675710874755814,4143.333333333333,3370.0,2447.142857142857,0.038513240404415,0.04192345534569946,
2020-03-28,1719.0,,,,265303.0,56585.0,42783,4109.0,1717,281,3828.0,0.06838646872718424,4406.333333333333,3596.5714285714284,2663.5714285714284,0.04845732435765312,0.04540791605566412,
2020-03-29,1879.0,,,,269307.0,52612.0,46607,3824.0,1905,188,3636.0,0.049163179916318,4180.0,3782.857142857143,2936.714285714286,0.053075119839419344,0.04755594402556895,0.04187458408899675
2020-03-30,1900.0,,,,270314.0,52370.0,51419,4812.0,2132,227,4585.0,0.0471737323358271,4248.333333333333,4074.4285714285716,3108.5714285714284,0.05490779365977644,0.047850753135357936,0.04245349395718343
2020-03-31,1924.0,,,,171994.0,50804.0,55801,4382.0,2347,215,4167.0,0.04906435417617526,4339.333333333333,4222.428571428572,3306.142857142857,0.04846708880944012,0.047046779481249947,0.04414585588914503
2020-04-01,2317.0,,,,183095.0,48093.0,61178,5377.0,2633,286,5091.0,0.053189510879672684,4857.0,4516.285714285715,3570.142857142857,0.04980919913055834,0.04913753576870748,0.04543809553343541
