region,date,new,infected,new_deaths,dead,new_recoveries,recovered,new_3,new_7,new_14,new_deaths_7,new_deaths_14,new_deaths_7_7
mazowieckie,2020-03-04,0.0,0,0.0,0,0.0,0,,,,,,
mazowieckie,2020-03-05,0.0,0,0.0,0,0.0,0,,,,,,
mazowieckie,2020-03-06,0.0,0,0.0,0,0.0,0,0.0,,,,,
mazowieckie,2020-03-07,0.0,0,0.0,0,0.0,0,0.0,,,,,
mazowieckie,2020-03-08,2.0,2,0.0,0,0.0,0,0.6666666666666666,,,,,
mazowieckie,2020-03-09,0.0,2,0.0,0,0.0,0,0.6666666666666666,,,,,
mazowieckie,2020-03-10,1.0,3,0.0,0,0.0,0,1.0,0.42857142857142855,,0.0,,
mazowieckie,2020-03-11,1.0,4,0.0,0,0.0,0,0.6666666666666666,0.5714285714285714,,0.0,,
mazowieckie,2020-03-12,2.0,6,0.0,0,0.0,0,1.3333333333333333,0.8571428571428571,,0.0,,
mazowieckie,2020-03-13,5.0,11,0.0,0,0.0,0,2.6666666666666665,1.5714285714285714,,0.0,,
mazowieckie,2020-03-14,5.0,16,0.0,0,0.0,0,4.0,2.2857142857142856,,0.0,,
mazowieckie,2020-03-15,6.0,22,0.0,0,0.0,0,5.333333333333333,2.8571428571428568,,0.0,,
mazowieckie,2020-03-16,13.0,35,0.0,0,0.0,0,8.0,4.714285714285714,,0.0,,0.0
mazowieckie,2020-03-17,3.0,38,0.0,0,0.0,0,7.333333333333332,5.0,2.7142857142857144,0.0,0.0,0.0
mazowieckie,2020-03-18,28.0,66,0.0,0,0.0,0,14.666666666666664,8.857142857142858,4.714285714285714,0.0,0.0,0.0
mazowieckie,2020-03-19,16.0,82,0.0,0,0.0,0,15.666666666666664,10.857142857142858,5.857142857142858,0.0,0.0,0.0
mazowieckie,2020-03-20,25.0,107,0.0,0,0.0,0,23.0,13.714285714285715,7.642857142857142,0.0,0.0,0.0
mazowieckie,2020-03-21,20.0,127,0.0,0,0.0,0,20.33333333333333,15.857142857142858,9.071428571428571,0.0,0.0,0.0
mazowieckie,2020-03-22,20.0,147,1.0,1,0.0,0,21.66666666666667,17.857142857142858,10.357142857142858,0.14285714285714285,0.07142857142857142,0.020408163265306117
mazowieckie,2020-03-23,28.0,175,0.0,1,0.0,0,22.66666666666667,20.0,12.357142857142858,0.14285714285714285,0.07142857142857142,0.040816326530612235
mazowieckie,2020-03-24,37.0,212,0.0,1,0.0,0,28.33333333333333,24.857142857142854,14.928571428571427,0.14285714285714285,0.07142857142857142,0.061224489795918366
mazowieckie,2020-03-25,39.0,251,0.0,1,0.0,0,34.666666666666664,26.42857142857143,17.642857142857142,0.14285714285714285,0.07142857142857142,0.08163265306122447
mazowieckie,2020-03-26,40.0,291,2.0,3,0.0,0,38.66666666666666,29.857142857142854,20.357142857142858,0.42857142857142855,0.21428571428571427,0.14285714285714285
mazowieckie,2020-03-27,27.0,318,0.0,3,0.0,0,35.333333333333336,30.142857142857146,21.928571428571423,0.42857142857142855,0.21428571428571427,0.20408163265306126
mazowieckie,2020-03-28,103.0,421,1.0,4,0.0,0,56.66666666666666,42.0,28.92857142857143,0.5714285714285714,0.2857142857142857,0.2857142857142857
mazowieckie,2020-03-29,40.0,461,0.0,4,0.0,0,56.66666666666666,44.85714285714285,31.357142857142854,0.42857142857142855,0.2857142857142857,0.32653061224489793
mazowieckie,2020-03-30,26.0,487,3.0,7,5.0,5,56.33333333333334,44.57142857142857,32.285714285714285,0.8571428571428571,0.5,0.42857142857142855
mazowieckie,2020-03-31,57.0,544,1.0,8,2.0,7,41.0,47.42857142857143,36.142857142857146,1.0,0.5714285714285714,0.5510204081632654
mazowieckie,2020-04-01,68.0,612,3.0,11,0.0,7,50.33333333333334,51.57142857142857,39.0,1.4285714285714286,0.7857142857142857,0.7346938775510203
mazowieckie,2020-04-02,142.0,754,3.0,14,0.0,7,89.0,66.14285714285714,48.0,1.5714285714285714,1.0,0.8979591836734693
mazowieckie,2020-04-03,54.0,808,0.0,14,1.0,8,88.0,70.0,50.07142857142857,1.5714285714285714,1.0,1.0612244897959182
mazowieckie,2020-04-04,0.0,808,0.0,14,0.0,8,65.33333333333333,55.28571428571429,48.64285714285714,1.4285714285714286,1.0,1.1836734693877549
mazowieckie,2020-04-05,159.0,967,6.0,20,2.0,10,71.0,72.28571428571429,58.57142857142857,2.2857142857142856,1.3571428571428572,1.4489795918367343
mazowieckie,2020-04-06,98.0,1065,3.0,23,4.0,14,85.66666666666667,82.57142857142857,63.57142857142857,2.2857142857142856,1.5714285714285714,1.6530612244897955
mazowieckie,2020-04-07,182.0,1247,2.0,25,5.0,19,146.33333333333334,100.42857142857143,73.92857142857143,2.4285714285714284,1.7142857142857142,1.857142857142857
mazowieckie,2020-04-08,67.0,1314,12.0,37,8.0,27,115.66666666666669,100.28571428571428,75.92857142857143,3.7142857142857135,2.571428571428572,2.183673469387754
mazowieckie,2020-04-09,110.0,1424,5.0,42,7.0,34,119.66666666666669,95.71428571428572,80.92857142857143,4.0,2.7857142857142856,2.530612244897959
mazowieckie,2020-04-10,77.0,1501,0.0,42,11.0,45,84.66666666666667,99.0,84.5,4.0,2.7857142857142856,2.8775510204081627
mazowieckie,2020-04-11,128.0,1629,12.0,54,6.0,51,105.0,117.28571428571428,86.2857142857143,5.7142857142857135,3.571428571428572,3.4897959183673466
mazowieckie,2020-04-12,35.0,1664,16.0,70,15.0,66,80.0,99.57142857142857,85.92857142857143,7.142857142857142,4.714285714285714,4.183673469387755
mazowieckie,2020-04-13,24.0,1688,1.0,71,84.0,150,62.33333333333334,89.0,85.78571428571429,6.857142857142858,4.571428571428571,4.836734693877551
mazowieckie,2020-04-14,27.0,1715,5.0,76,9.0,159,28.66666666666667,66.85714285714286,83.64285714285714,7.2857142857142865,4.857142857142857,5.530612244897958
mazowieckie,2020-04-15,77.0,1792,8.0,84,17.0,176,42.66666666666666,68.28571428571429,84.28571428571429,6.7142857142857135,5.214285714285714,5.959183673469387
mazowieckie,2020-04-16,54.0,1846,12.0,96,23.0,199,52.66666666666666,60.28571428571429,78.0,7.7142857142857135,5.857142857142858,6.4897959183673475
mazowieckie,2020-04-17,37.0,1883,4.0,100,19.0,218,56.0,54.57142857142857,76.78571428571429,8.285714285714286,6.142857142857142,7.10204081632653
mazowieckie,2020-04-18,53.0,1936,7.0,107,18.0,236,48.0,43.85714285714285,80.57142857142857,7.571428571428571,6.642857142857142,7.367346938775508
mazowieckie,2020-04-19,56.0,1992,1.0,108,31.0,267,48.66666666666666,46.85714285714285,73.21428571428571,5.428571428571429,6.2857142857142865,7.122448979591836
mazowieckie,2020-04-20,38.0,2030,8.0,116,41.0,308,49.0,48.85714285714285,68.92857142857143,6.428571428571429,6.642857142857142,7.061224489795919
mazowieckie,2020-04-21,29.0,2059,9.0,125,43.0,351,41.0,49.14285714285714,58.0,7.0,7.142857142857142,7.020408163265307
mazowieckie,2020-04-22,39.0,2098,6.0,131,42.0,393,35.333333333333336,43.714285714285715,56.0,6.7142857142857135,6.7142857142857135,7.020408163265307
mazowieckie,2020-04-23,68.0,2166,10.0,141,44.0,437,45.33333333333334,45.714285714285715,53.0,6.428571428571429,7.071428571428571,6.83673469387755
mazowieckie,2020-04-24,40.0,2206,18.0,159,42.0,479,49.0,46.14285714285714,50.35714285714285,8.428571428571429,8.357142857142858,6.857142857142858
